"title","times_rented","total_amount"
"Scalawag Duck","29","157.71"
"Shock Cabin","29","96.71"
"Juggler Hardly","29","86.71"
"Zorro Ark","28","199.72"
"Dogma Family","28","168.72"
"Apache Divine","28","160.72"
"Bucket Brotherhood","28","150.72"
"Ridgemont Submarine","28","110.72"
"Rocketeer Mother","28","97.72"
"Grit Clockwork","28","97.72"
"Rush Goodfellas","28","81.72"
"Frost Head","28","74.72"
"Rugrats Shakespeare","28","67.72"
"Wife Turn","27","198.73"
"Titans Jerk","27","186.73"
"Harry Idaho","27","177.73"
"Cat Coneheads","27","159.73"
"Gleaming Jawbreaker","27","125.72"
"Suspects Quills","27","118.73"
"Network Peak","27","116.73"
"Greatest North","27","103.73"
"Spy Mile","27","94.73"
"Sweethearts Suspects","27","93.73"
"Muscle Bright","27","86.73"
"Primary Glass","27","36.73"
"Innocent Usual","26","191.74"
"Saturday Lambs","26","190.74"
"Forrester Comancheros","26","141.74"
"Trip Newton","26","135.74"
"Pulp Beverly","26","121.74"
"Butterfly Chocolat","26","108.74"
"Timberland Sky","26","102.74"
"Forward Temple","26","102.74"
"Giant Troopers","26","100.74"
"Invasion Cyclone","26","100.74"
"English Bulworth","26","99.74"
"Expendable Stallion","26","94.74"
"Robbers Joon","26","85.74"
"Married Go","26","84.74"
"Lose Inch","26","77.74"
"Hobbit Alien","26","68.74"
"Graffiti Love","26","67.74"
"Loathing Legally","26","62.74"
"Family Sweet","26","60.73"
"Storm Happiness","26","42.74"
"Moon Bunch","26","35.74"
"Story Side","26","35.74"
"Telegraph Voyage","25","215.75"
"Goodfellas Salute","25","164.75"
"Enemy Odds","25","159.75"
"Massacre Usual","25","149.75"
"Witches Panic","25","146.75"
"Boogie Amelie","25","140.74"
"Bingo Talented","25","119.75"
"Oscar Gold","25","83.75"
"Operation Operation","25","80.75"
"None Spiking","25","79.75"
"Deer Virginian","25","78.76"
"Horror Reign","25","77.75"
"Virginian Pluto","25","47.75"
"Voyage Legally","25","42.75"
"Pocus Pulp","25","40.75"
"Westward Seabiscuit","25","36.75"
"Closer Bang","24","152.76"
"Videotape Arsenic","24","148.76"
"Fellowship Autumn","24","137.76"
"Confidential Interview","24","136.76"
"Durham Panky","24","132.76"
"Coneheads Smoochy","24","131.76"
"Lies Treatment","24","131.76"
"Chance Resurrection","24","124.76"
"Princess Giant","24","121.77"
"Metropolis Coma","24","116.76"
"Tomorrow Hustler","24","101.76"
"Samurai Lion","24","101.76"
"Camelot Vacation","24","93.76"
"Telemark Heartbreakers","24","88.76"
"Idols Snatchers","24","88.76"
"Seabiscuit Punk","24","86.76"
"Tracy Cider","24","78.76"
"Contact Anonymous","24","78.76"
"Detective Vision","24","62.76"
"Tights Dawn","24","54.76"
"Gilmore Boiled","24","52.76"
"Handicap Boondock","24","50.76"
"Bound Cheaper","24","50.76"
"Dancing Fever","24","49.76"
"Goldmine Tycoon","24","43.76"
"Curtain Videotape","24","34.77"
"Talented Homicide","24","34.76"
"Torque Bound","23","169.76"
"Pelican Comforts","23","165.77"
"Range Moonwalker","23","158.77"
