"name","count","total_amount","date"
"Action","148","628.52","2005-06"
"Animation","147","569.53","2005-06"
"Children","117","437.83","2005-06"
"Classics","119","459.81","2005-06"
"Comedy","117","553.83","2005-06"
"Documentary","133","497.67","2005-06"
"Drama","130","583.70","2005-06"
"Family","131","485.69","2005-06"
"Foreign","133","545.67","2005-06"
"Games","126","562.74","2005-06"
"Horror","96","431.04","2005-06"
"Music","114","448.86","2005-06"
"New","112","473.88","2005-06"
"Sci-Fi","143","584.57","2005-06"
"Sports","137","607.63","2005-06"
"Travel","112","478.88","2005-06"
"Action","464","1804.36","2005-07"
"Animation","489","1954.11","2005-07"
"Children","406","1539.94","2005-07"
"Classics","384","1497.16","2005-07"
"Comedy","383","1829.17","2005-07"
"Documentary","429","1726.71","2005-07"
"Drama","463","1978.37","2005-07"
"Family","460","1840.40","2005-07"
"Foreign","432","1764.68","2005-07"
"Games","392","1811.08","2005-07"
"Horror","366","1594.34","2005-07"
"Music","348","1434.52","2005-07"
"New","393","1835.07","2005-07"
"Sci-Fi","462","2013.38","2005-07"
"Sports","497","2281.03","2005-07"
"Travel","345","1473.55","2005-07"
"Action","384","1463.16","2005-08"
"Animation","408","1654.92","2005-08"
"Children","332","1315.68","2005-08"
"Classics","348","1371.52","2005-08"
"Comedy","342","1593.58","2005-08"
"Documentary","369","1517.31","2005-08"
"Drama","353","1526.47","2005-08"
"Family","384","1474.16","2005-08"
"Foreign","377","1599.23","2005-08"
"Games","352","1508.48","2005-08"
"Horror","299","1342.01","2005-08"
"Music","277","1163.23","2005-08"
"New","346","1626.54","2005-08"
"Sci-Fi","385","1707.15","2005-08"
"Sports","432","1962.68","2005-08"
"Travel","298","1244.02","2005-08"
"Action","17","55.80","2006-02"
"Animation","21","66.75","2006-02"
"Children","6","15.94","2006-02"
"Classics","9","24.89","2006-02"
"Comedy","9","25.90","2006-02"
"Documentary","6","7.96","2006-02"
"Drama","7","29.92","2006-02"
"Family","13","29.90","2006-02"
"Foreign","11","24.89","2006-02"
"Games","14","39.88","2006-02"
"Horror","12","33.88","2006-02"
"Music","11","24.91","2006-02"
"New","13","30.89","2006-02"
"Sci-Fi","8","30.91","2006-02"
"Sports","15","40.85","2006-02"
"Travel","10","30.91","2006-02"
